"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2023-12-03 08:35:51+08:00",1.0,206.95,0.2,1.14,51.5,1.12,2.03,3.44,1.3,123.6333,10.3833,"2023-12-03 08:35:51.915351+08:00","Toledo City"
"2023-12-03 08:35:53+08:00",1.0,320.44,0.05,1.52,47.92,0.18,4.7,5.15,1.12,121.7269,17.6131,"2023-12-03 08:35:54.074669+08:00","Tuguegarao"
"2023-12-03 08:35:55+08:00",2.0,340.46,0.59,3.38,66.52,1.37,4.06,5.09,3.29,120.5711,15.9761,"2023-12-03 08:35:55.478928+08:00","Urdaneta"
"2023-12-03 08:35:57+08:00",1.0,206.95,0.15,0.94,45.78,0.32,1.37,1.87,0.64,124.5725,11.1089,"2023-12-03 08:35:57.619501+08:00","Valencia"
"2023-12-03 08:35:59+08:00",2.0,333.79,0.79,4.84,67.95,3.4,5.42,9.81,2.91,120.9667,14.7,"2023-12-03 08:36:00.047973+08:00","Valenzuela"
"2023-12-03 08:36:02+08:00",1.0,195.27,0.05,0.41,57.22,2.35,3.42,4.87,0.03,123.0778,10.9,"2023-12-03 08:36:02.483681+08:00","Victorias"
"2023-12-03 08:36:04+08:00",2.0,300.41,0.1,0.79,72.24,0.23,2.13,2.59,1.3,120.3869,17.5747,"2023-12-03 08:36:05.200690+08:00","Vigan"
"2023-12-03 08:36:07+08:00",1.0,373.84,0.73,10.03,21.99,2.35,4.36,4.99,4.56,122.0696,6.9135,"2023-12-03 08:36:07.282623+08:00","Zamboanga City"
"2023-12-03 09:00:00+08:00",2.0,293.73,0.61,3.6,66.52,5.54,3.09,3.89,2.38,119.9811,16.1561,"2023-12-03 09:00:01.015937+08:00","Alaminos"
"2023-12-03 09:00:03+08:00",1.0,297.07,0.4,1.95,55.79,0.89,4.02,5.52,1.85,120.5833,15.15,"2023-12-03 09:00:04.183958+08:00","Angeles City"
"2023-12-03 09:00:08+08:00",2.0,257.02,0.15,0.86,60.08,0.25,2.0,2.63,0.9,121.19,15.6181,"2023-12-03 09:00:08.612871+08:00","Antipolo"
"2023-12-03 09:00:10+08:00",1.0,195.27,0.03,0.75,56.51,1.8,2.04,2.32,0.27,123.5085,12.2285,"2023-12-03 09:00:11.199799+08:00","Bacolod"
"2023-12-03 09:00:13+08:00",2.0,473.98,2.15,12.34,65.8,8.94,9.5,18.76,4.75,120.929,14.459000000000001,"2023-12-03 09:00:13.444770+08:00","Bacoor"
"2023-12-03 09:00:15+08:00",1.0,216.96,0.19,1.19,58.65,2.15,3.91,5.47,0.49,122.8333,10.5333,"2023-12-03 09:00:15.792547+08:00","Bago City"
"2023-12-03 09:00:17+08:00",1.0,300.41,0.27,1.65,55.08,1.59,4.91,5.71,1.84,120.5931,16.4164,"2023-12-03 09:00:17.634933+08:00","Baguio"
"2023-12-03 09:00:19+08:00",1.0,200.27,0.13,0.99,50.78,0.61,1.93,2.37,0.54,123.1228,9.5911,"2023-12-03 09:00:20.023062+08:00","Bais"
